Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
1214,barbell glute bridge,"The barbell glute bridge is a popular exercise targeting the muscles of the glutes and hamstrings. It can be done as a strength movement on its own, as an activation drill or warm-up for lower-body training, or as a burnout at the end of a lower-body workout.",powerlifting,Glutes,barbell,Expert,9.4,Average
595,metaburn tabletop hip thrust,,strength,Glutes,body only,Beginner,9.1,
1402,glute ham raise,"The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD, or glute ham developer bench. The unassisted version of the movement requires serious hamstring strength, so it is more common to see versions that use a band or PVC pipe for assistance. It is commonly performed as an accessory movement for heavy barbell lifts. While a single rep may be a struggle at first, with time, strong athletes can build up to doing them for 8-12 reps per set.",strength,Glutes,machine,Expert,9.1,Average
1367,natural glute ham raise,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.,strength,Glutes,body only,Expert,9.1,Average
1215,barbell hip thrust,"The barbell hip thrust is an exercise that engages the posterior chain, particular the glutes. It involves fully extending your hips while holding a weighted barbell across the midsection.",powerlifting,Glutes,barbell,Expert,9.1,Average
19,kv barbell hip thrust,,strength,Glutes,barbell,Expert,9.0,
1335,box jump,"The box jump is an explosive exercise that strengthens the muscles of the lower body, including the quads, glutes, calves, and hamstrings. They also develop power in the lower body while revving the heart rate. Box jumps can be performed for low reps to focus on strength and power, or for higher reps for metabolic conditioning. Most coaches recommend stepping down rather than jumping down between reps.",plyometrics,Glutes,plyometrics,Expert,8.6,Average
670,thigh abductor,"The thigh abductor is a lower-body exercise that targets the muscles of the outer hips and glutes. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",strength,Glutes,machine,Intermediate,8.2,Average
1336,box jump (multiple response),"The box jump is a plyometric exercise that strengthens the muscles of the lower body, including the quads, glutes, calves and hamstrings. They also develop power in the lower-body while revving the heart rate.",plyometrics,Glutes,plyometrics,Expert,8.1,Average
2079,smith machine leg press,"The Smith machine leg press is a machine-based movement that targets the quads, glutes, and hamstrings. It can serve as a substitute for the leg press or be programmed similarly to the leg press. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training. If your Smith machine has safety bars, set them at a height that allows you a full range of motion while giving adequate protection from the weight potentially falling.",strength,Glutes,machine,Intermediate,8.0,Average
1287,exercise ball hip thrust,"The exercise ball hip thrust is a simple yet effective way to work the glutes and hamstrings. Proper form is essential to really feel the burn in the glutes, and the ball can help guide you into the right form better than a bench, which is the usual support for hip thrusts. Unlike the bench version, the ball hip thrust is best performed with body weight or bands as resistance for safety reasons. It can be an excellent component of a warm-up for lower-body training, or a glute activation drill performed anytime.",strength,Glutes,exercise ball,Beginner,7.8,Average
1228,pull through,,strength,Glutes,cable,Intermediate,7.4,Average
1208,hip extension with bands,,strength,Glutes,bands,Beginner,7.2,Average
1236,standing hip extension,The standing hip extension is a movement that activates the glutes and hamstrings. It is often performed either for time or reps as part of a dynamic warm-up.,strength,Glutes,body only,Beginner,6.5,Average
1209,hip lift with band,,powerlifting,Glutes,bands,Beginner,6.0,Average
1534,band good morning,"The band good morning is an exercise targeting the hamstrings and glutes. It is often performed in powerlifting-style training for high reps, or in the place of barbell good mornings.",strength,Glutes,bands,Beginner,6.0,
277,glute bridge step-out,"The glute bridge step-out is a lower-body bodyweight exercise that targets the glutes and hamstrings. It differs from a glute bridge by the addition of a step-out, which increases stress on the hamstrings. It can be performed for time or reps and works perfectly in a dynamic warm-up for lower-body training, but can also be performed for glute activation anytime.",strength,Glutes,body only,Beginner,5.1,
1284,30 legs hip thrust,,strength,Glutes,body only,Beginner,5.0,
1285,dumbbell single-leg hip thrust,"The dumbbell single-leg hip thrust is a single-sided exercise that targets the posterior chain, particularly the glutes and hamstrings. It involves balancing on one foot and fully extending your hips while holding a dumbbell across the front of your hip. It is a great movement to activate the glutes prior to other lower-body training, but can also be performed in the main part of a workout, or for high reps as a glute burnout.",strength,Glutes,body only,Beginner,5.0,
1225,fyr2 glute bridge dumbbell floor press,,strength,Glutes,dumbbell,Intermediate,5.0,
1224,fyr2 dumbbell hip thrust,,strength,Glutes,dumbbell,Intermediate,5.0,
1211,uns banded glute bridge,,strength,Glutes,bands,Beginner,5.0,
1212,fyr2 banded glute bridge,,strength,Glutes,bands,Beginner,5.0,
1268,un glute bridge,,strength,Glutes,body only,Beginner,5.0,
57,dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,strength,Glutes,dumbbell,Intermediate,4.9,
1256,hm alternating donkey kick,,strength,Glutes,body only,Beginner,4.6,
1230,uns cable pull-through,,strength,Glutes,cable,Intermediate,4.6,
1271,holman left leg donkey kick,,strength,Glutes,body only,Beginner,4.6,
1716,un cable pull-through,,strength,Glutes,cable,Intermediate,4.6,
1269,holman donkey kick,,strength,Glutes,body only,Beginner,4.6,
1264,hm leg lifts,,strength,Glutes,body only,Beginner,4.6,
1210,hm monster walk,,strength,Glutes,bands,Beginner,4.6,
1273,holman right leg donkey kick,,strength,Glutes,body only,Beginner,4.6,
2321,holman bear crawl to donkey kick,,strength,Glutes,body only,Beginner,4.5,
1013,holman froggy push-up to donkey kick,,strength,Glutes,body only,Beginner,4.5,
1257,hm alternating slow step-down with chair,,strength,Glutes,body only,Beginner,4.3,
1254,natural glute ham raise - gethin variation,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.,strength,Glutes,body only,Expert,4.3,
1279,holman frogger,,strength,Glutes,body only,Beginner,4.3,
1286,medicine ball duck walk,"The medicine ball duck walk is a dynamic medicine ball movement that challenges both the upper and lower body, while also elevating the heart rate. It's a great movement to include in medicine ball or bodyweight circuit training to increase fatigue and burn serious calories while hammering the muscles of the legs.",strength,Glutes,medicine ball,Intermediate,4.3,
1278,holman daisy cutter,,strength,Glutes,body only,Beginner,4.3,
1252,glute-ham raise - gethin variation,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.,strength,Glutes,body only,Beginner,4.3,
1245,walking butt kicks,,strength,Glutes,body only,Beginner,4.3,
1231,30 legs glute-ham raise,,strength,Glutes,machine,Intermediate,4.3,
1220,taylor kettlebell swing,,strength,Glutes,kettlebells,Intermediate,4.3,
1272,holman diagonal right leg step-out to right knee-up,,strength,Glutes,body only,Beginner,4.3,
1270,holman hip raise with alternating kick,,strength,Glutes,body only,Beginner,4.3,
1263,hm left side-kick,,strength,Glutes,body only,Beginner,4.3,
1262,hm left side iron cross,,strength,Glutes,body only,Beginner,4.3,
1260,hm hi-low,,strength,Glutes,body only,Beginner,4.3,
1259,hm single-leg bridge,,strength,Glutes,body only,Beginner,4.3,
1258,hm right side iron cross,,strength,Glutes,body only,Beginner,4.3,
333,natural glute ham raise with stability ball,,strength,Glutes,body only,Expert,4.1,
1288,downward facing balance,,strength,Glutes,exercise ball,Beginner,4.0,Average
1226,suspended hip thrust,,strength,Glutes,body only,Beginner,0.0,
