name,description,category,muscle,equipment,difficulty,rating,rating_description,image_url,primary_muscle,muscle_region,secondary_images
1.5-rep push-up,"The 1.5-rep push-up is a more difficult variation of the push-up, commonly used to train for military and tactical physical fitness tests. It builds upper-body muscle and strength, emphasizing the chest, core, upper back, triceps, and shoulders.",strength,chest,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,[]
3/4 sit-up,"The 3/4 sit-up is a bodyweight exercise focused on the muscles of the core. It is similar to a sit-up, but stops short of the top position. This keeps constant tension on the abs, making it more difficult than traditional sit-ups. It can be performed for time or for reps, with the feet anchored or free, as part of the ab-focused portion of any workout.",strength,core,Bodyweight,Intermediate,8.8,Average,,full_muscle,full_muscle,[]
30 arms barbell skullcrusher,No description available,strength,arms,Barbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms bfr close-grip push-up,No description available,strength,arms,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms bfr dumbbell kick-back,No description available,strength,arms,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms bfr high cable curl,No description available,strength,arms,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms bfr machine preacher curl,No description available,strength,arms,Machine,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms cable concentration curl,No description available,strength,arms,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms cable rope hammer curl,No description available,strength,arms,Cable,Intermediate,5.9,,https://t3.ftcdn.net/jpg/05/04/89/18/240_F_504891829_C8C4uvSyiarKli1wYpnDmNvkqiWsE2KN.jpg,arms_biceps,arms_biceps,[]
30 arms cable rope overhead triceps extension,No description available,strength,arms,Cable,Intermediate,5.9,,https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg,arms_triceps,arms_triceps,[]
30 arms cable rope push-down,No description available,strength,arms,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms cable straight-bar curl,No description available,strength,arms,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms cable straight-bar push-down,No description available,strength,arms,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms cable v-bar push-down,No description available,strength,arms,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms close-grip bench press,No description available,strength,arms,Barbell,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals,"chest_pectorals, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 arms close-grip push-up,No description available,strength,arms,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms dumbbell kick-back,No description available,strength,arms,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms dumbbell skullcrusher,No description available,strength,arms,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms ez-bar preacher curl,No description available,strength,arms,E-Z Curl Bar,Intermediate,5.9,,,full_muscle,full_muscle,[]
