id,name,description,category,muscle,equipment,difficulty,rating,rating_description,image_url,muscle_region,primary_muscle,type,activation
00044a16-6b50-4bbf-a4c1-b1ba822ce3fb,hm air jumping rope,No description available,strength,core,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,isolation,5
0011595c-f9b2-4079-bcfd-e3f8cd048a16,frankenstein squat,No description available,olympic weightlifting,legs,Barbell,Beginner,7.7,Average,https://www.shutterstock.com/image-illustration/quadriceps-male-muscles-anatomy-muscle-260nw-489727177.jpg,"legs_quads, glute_maximus",legs_quads,compound,9
0018a479-3a34-49aa-a678-994657e90a0f,band-assisted chin-up,"The band-assisted chin-up is a variation of the pull-up exercise in which the reps are performed with the palms facing toward the body in an underhand position, with a band looped around the feet or knees. This reduces weight and resistance at the bottom of the rep, while increasing it toward the top. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, but it utilizes the biceps slightly more than overhand band-assisted pull-ups.",strength,middle back,Bands,Intermediate,5.9,,,full_muscle,full_muscle,isolation,5
00199658-0cd4-4cdc-84cc-3131cb411119,single-arm kettlebell clean and jerk,"The single-arm kettlebell clean and jerk is a popular kettlebell movement that is performed both in an exercise setting and competitively as a part of Russian-style girevoy sport. It differs from a clean and push-press in that the lifter ""dips"" under the weight rather than simply using the legs to help push the weight up. Each rep of a clean and jerk is preceded by a clean at the start of each set. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a larger kettlebell combination or complex.",strength,shoulders,Kettlebell,Intermediate,8.4,Average,,full_muscle,full_muscle,isolation,5
0025107e-bd40-445c-bbff-193a84587fc3,seated head harness neck resistance,No description available,strength,neck,Other,Beginner,7.6,Average,,full_muscle,full_muscle,isolation,5
004b6360-9a3b-41cb-bae9-5c03dc97550c,taylor kettlebell swing,No description available,strength,glutes,Kettlebell,Intermediate,5.9,,,full_muscle,full_muscle,isolation,5
0053c4af-51eb-4ea9-b9c3-fd96cba0f5d0,fyr sprawl,"The sprawl is an explosive bodyweight exercise that targets the core, upper body, and lower body. It is similar to a burpee, but without a jump at the top and with a plank instead of a push-up at the bottom. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.",strength,core,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,isolation,5
0055145a-2893-48d5-80db-8c5dbf7d11d1,single-arm kettlebell overhead squat,"The single-arm kettlebell overhead squat is a popular kettlebell movement performed while holding a single kettlebell in a locked-out overhead position. It targets the muscles of the lower body dynamically, while also challenging and building shoulder stability and upper-back mobility. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a kettlebell combination or complex.",strength,legs,Kettlebell,Expert,7,Average,https://www.shutterstock.com/image-illustration/quadriceps-male-muscles-anatomy-muscle-260nw-489727177.jpg,"legs_quads, glute_maximus",legs_quads,compound,9
006fb6b6-21f4-4bc5-9b40-20321ade02db,dumbbell fix standing dumbbell arnold press,No description available,strength,shoulders,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,compound,5
00703f56-8c4e-4a3b-a3ed-4adc5096d33b,holman feet-elevated hill climber,No description available,strength,core,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,isolation,5
0074a0e8-ed20-4537-8342-5d31786fb1d7,kneeling cable crunches,No description available,strength,core,Cable,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis,rectus_abdominis,isolation,5
0075c682-63b9-46d3-9e8d-d5e00eea33b0,fire hydrant,No description available,strength,abductors,Bodyweight,Beginner,8,Average,,full_muscle,full_muscle,isolation,5
009c38b0-a656-43e4-a974-f4c7dd187c09,metaburn janda sit-up,No description available,strength,core,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,isolation,5
00bf2e68-620d-4956-818c-ae43d0b01c44,alternating hanging knee raise,"The alternating hanging knee raise is an exercise targeting the abs, but which also works the lats and hip flexors. Rather than performing both legs at a time, you lift one knee at a time and alternate with each rep as if marching in place. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",strength,core,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,isolation,5
00e4eb2e-22b9-4a0b-81b0-235bb79544bc,cocoon crunch,"The cocoon crunch is a bodyweight exercise targeting the ab muscles, the rectus abdominis or ""six-pack"" muscles in particular. It involves bringing your knees to your chest and your arms from overhead to center. It can be performed for time or reps as part of the ab-focused portion of any workout.",strength,core,Bodyweight,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis,rectus_abdominis,isolation,5
01261900-1273-4ddc-b8a9-97f3ee1f2e1c,face-down incline dumbbell biceps curl,"The face-down incline dumbbell biceps curl is an exercise targeting the biceps and performed face down on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",strength,arms,Dumbbell,Beginner,7.6,Average,,full_muscle,full_muscle,isolation,7
014220cc-8238-4965-b48b-7c79a9f2a7b5,plank up-down,"The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout.",strength,core,Bodyweight,Intermediate,5.9,,https://kinxlearning.com/cdn/shop/files/muscle-61_500x.jpg?v=1613518563,transverse_core,transverse_core,isolation,5
01448173-be48-4d8d-bc32-5c1eac05a1c0,holman hands-elevated jack to split jump,No description available,strength,legs,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,isolation,5
01575e98-0adb-4da3-b120-537a118ec0ac,30° decline press sit-up,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,strength,core,Other,Intermediate,5.9,,,full_muscle,full_muscle,compound,5
015c7431-64fe-4edb-99a8-17af630f389e,partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,strength,core,Bands,Intermediate,0,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,"back_rhomboids, transverse_core",back_rhomboids,compound,8
015d3575-6486-49bc-8f1e-54dc747c0733,suspended crunch-,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.",strength,core,Other,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis,rectus_abdominis,isolation,5
01736394-8338-4f7c-bf7d-7f8cbcfeb7d6,30° shoulders incline face-up straight-bar front raise,No description available,strength,shoulders,Barbell,Intermediate,5.9,,,full_muscle,full_muscle,isolation,5
01882800-659d-450a-aa03-dfa34fbaf39f,diamond push-up,"The diamond push-up is an advanced variation of the push-up exercise performed with the hands in a diamond shape. It increases the challenge to the triceps, but also targets the chest and shoulders.",strength,chest,Bodyweight,Intermediate,0,,,full_muscle,full_muscle,compound,5
019b93fa-f4bb-46f8-a240-328d25e18886,single-leg depth squat,"The single-leg depth squat is an exercise targeting the muscles of the lower body, including the quads, glutes, and hamstrings. It is sometimes used as a substitute for the pistol squat, since it doesn't demand the same level of flexibility to perform. It is usually performed for low to moderate reps with a focus on proper form and control.",strength,legs,Bands,Intermediate,9,Average,https://www.shutterstock.com/image-illustration/quadriceps-male-muscles-anatomy-muscle-260nw-489727177.jpg,"legs_quads, glute_maximus",legs_quads,compound,9
01a5e4e2-7068-498b-ac21-88095bcda190,fyr2 single-dumbbell halo,No description available,strength,shoulders,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,isolation,5
01a9cb5e-34cb-4858-bf20-6c5fcbdcfdcb,dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",strength,core,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,isolation,5
01c941d1-4bfa-4376-a2e5-b5b641114f73,dumbbell flyes,"The dumbbell chest fly is a popular exercise that targets the pectoral or chest muscles. It attempts to isolate the chest muscles, stretching and contracting them while limiting involvement of the shoulders. Unlike a press, where the elbows bend and flex, flyes should keep a relatively consistent elbow angle. The motion is sometimes compared to ""hugging a tree."" Dumbbell flyes are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body focused workout.",strength,chest,Dumbbell,Intermediate,9.1,Average,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,"chest_pectorals, shoulders_anterior, arms_triceps",chest_pectorals,isolation,5
01cb0e89-4de1-44c7-8511-a0d85e87c034,holman squat thrust overhead press,No description available,strength,legs,Dumbbell,Intermediate,5.9,,https://mdhealth.com.au/wp-content/uploads/2014/07/gluteus-maximus-1000x675.jpg,"glute_maximus, legs_quads",glute_maximus,compound,9
